Date,Open,High,Low,Close,Shares Traded,Turnover,MA13,PriceCrossover,PriceCrossoverSwitch,Target Close,VolumeMA7,VolumeDif,Target Close Percent,Last Week Gain,Last Week Gain Acceleration,Volatility7,Y Last Week Gain,GainFORCALC,LossFORCALC,Gain,Loss,Average Gain,Average Loss,RSI7,RSI7LOW,RSI7HIGH,Trend,PriceVolume,MA7PriceVolume,Month,GoldPRICE,GOLDUPDOWN,OilPRICE,OilUPDOWN,GOLDOILUPDOWN,InterestRate,IntersetRateOpen,InterestRateHigh,InterestRateLow,InterestRateChange,InterestChangeUpdown,AllUpdown
25/07/14,7828.2,7840.95,7748.6,7790.45,153936037,7827.61,,,,7672.05,,-3747851,-1.52,,,,,,,,,,,,,,,-5811085397,,Jul,27724,1,6124,-1,0,8.671,8.671,8.671,8.671,0.0027,1,1
28/07/14,7792.9,7799.9,7722.65,7748.7,116534670,6107.78,,,,7649.25,,-41149218,-1.28,,,,,-41.75,41.75,0,41.75,,,,,,,-5150832414,,Jul,27890,-1,6140,1,0,8.707,8.707,8.707,8.707,0.0042,1,1
30/07/14,7746.2,7798.7,7707.6,7791.4,178110084,10175.5,,,,7568.55,,20426196,-2.86,,,,,42.7,-42.7,42.7,0,,,,,,,8050575797,,Jul,27781,-1,6068,-1,-2,8.726,8.726,8.726,8.726,0.0022,1,-1
31/07/14,7784.65,7791.85,7711.15,7721.3,208857257,11718.26,,,,7625.95,,51173369,-1.23,,,,,-70.1,70.1,0,70.1,,,,,,,-13231107231,,Jul,27906,1,6031,-1,0,8.722,8.722,8.722,8.722,-0.0005,-1,-1
01/08/14,7662.5,7716.7,7593.9,7602.6,181070405,9796.7,,,,7727.05,,23386517,1.64,,,,,-118.7,118.7,0,118.7,,,,,,,-10846117259,,Aug,27886,1,5914,-1,0,8.755,8.755,8.755,8.755,0.0038,1,1
04/08/14,7639.55,7694.8,7622.05,7683.65,137040004,7495.07,,,,7739.55,,-20643884,0.73,,,,,81.05,-81.05,81.05,0,,,,,,,6043464176,,Aug,27993,-1,5956,1,0,8.744,8.744,8.744,8.744,-0.0013,-1,-1
05/08/14,7706.65,7752.45,7638.05,7746.55,128238762,6772.55,,,,7791.7,,-29445126,0.58,,,,,62.9,-62.9,62.9,0,,,,,,,5116726604,-2261196532,Aug,27914,1,5998,1,2,8.834,8.834,8.834,8.834,0.0103,1,3
06/08/14,7726.15,7740.95,7658.95,7672.05,116361342,6905.9,,,,7874.25,157683888.4,-41322546.43,2.64,-118.4,,,,-74.5,74.5,0,74.5,,,,,,-355.2,-6295148602,-2330348419,Aug,28114,1,5927,-1,0,8.868,8.868,8.868,8.868,0.0038,1,1
07/08/14,7651.15,7708.95,7630.4,7649.25,116792296,6030.02,,,,7897.5,152316074.9,-35523778.86,3.25,-99.45,,,,-22.8,22.8,0,22.8,26.66428571,40.87142857,38.90568004,0,0,-336.25,-221905362.4,-1626215983,Aug,28375,-1,5945,1,0,8.857,8.857,8.857,8.857,-0.0012,-1,-1
08/08/14,7588.7,7592.45,7540.1,7568.55,118429659,6283.56,,,,7875.3,152352878.6,-33923219.57,4.05,-222.85,,,,-80.7,80.7,0,80.7,20.56428571,52.4,27.80299372,0,0,-440.7,-2386357629,-3117206472,Aug,28576,-1,5978,1,0,8.855,8.855,8.855,8.855,-0.0002,-1,-1
11/08/14,7619.85,7635.55,7598.6,7625.95,106972573,5535.13,,,,7891.1,143827103.6,-36854530.57,3.48,-95.35,,,,57.4,-57.4,57.4,0,28.76428571,42.38571429,39.86733987,0,0,-417.65,652532695.3,-1133829340,Aug,28373,-1,6011,1,0,8.817,8.817,8.817,8.817,-0.0043,-1,-1
