Date,Price,Open,High,Low,Change %,,,,
"Aug 28, 2019",6.564,6.518,6.576,6.501,0.66%,Aug,2019,28,08/01/00
"Aug 27, 2019",6.521,6.391,6.53,6.391,0.76%,Aug,2019,27,
"Aug 26, 2019",6.472,6.501,6.526,6.472,-1.40%,Aug,2019,26,
"Aug 23, 2019",6.564,6.567,6.578,6.551,0.15%,Aug,2019,23,
"Aug 22, 2019",6.554,6.585,6.586,6.531,-0.09%,Aug,2019,22,
"Aug 21, 2019",6.56,6.583,6.583,6.534,-0.27%,Aug,2019,21,
"Aug 20, 2019",6.578,6.584,6.627,6.572,-0.05%,Aug,2019,20,
"Aug 19, 2019",6.581,6.553,6.596,6.549,0.70%,Aug,2019,19,
"Aug 16, 2019",6.535,6.584,6.596,6.527,-1.28%,Aug,2019,16,
"Aug 14, 2019",6.62,6.541,6.639,6.523,1.56%,Aug,2019,14,
"Aug 13, 2019",6.518,6.503,6.538,6.496,0.37%,Aug,2019,13,
"Aug 09, 2019",6.494,6.404,6.523,6.399,1.44%,Aug,2019,09,
"Aug 08, 2019",6.402,6.381,6.404,6.364,0.52%,Aug,2019,08,
"Aug 07, 2019",6.369,6.314,6.398,6.296,0.49%,Aug,2019,07,
"Aug 06, 2019",6.338,6.361,6.381,6.325,-0.81%,Aug,2019,06,
"Aug 05, 2019",6.39,6.367,6.423,6.361,0.60%,Aug,2019,05,
"Aug 02, 2019",6.352,6.333,6.361,6.324,-1.11%,Aug,2019,02,
"Aug 01, 2019",6.423,6.394,6.432,6.384,0.85%,Aug,2019,01,
"Jul 31, 2019",6.369,6.403,6.403,6.359,-0.28%,Jul,2019,31,
"Jul 30, 2019",6.387,6.416,6.437,6.379,-0.39%,Jul,2019,30,
"Jul 29, 2019",6.412,6.452,6.46,6.412,-1.73%,Jul,2019,29,
"Jul 26, 2019",6.525,6.538,6.556,6.506,0.17%,Jul,2019,26,
"Jul 25, 2019",6.514,6.441,6.551,6.422,1.18%,Jul,2019,25,
"Jul 24, 2019",6.438,6.476,6.479,6.425,-0.40%,Jul,2019,24,
"Jul 23, 2019",6.464,6.452,6.477,6.408,0.72%,Jul,2019,23,
"Jul 22, 2019",6.418,6.424,6.453,6.406,0.90%,Jul,2019,22,
"Jul 19, 2019",6.361,6.383,6.385,6.348,-0.41%,Jul,2019,19,
"Jul 18, 2019",6.387,6.31,6.402,6.31,0.66%,Jul,2019,18,
"Jul 17, 2019",6.345,6.281,6.413,6.266,0.22%,Jul,2019,17,
"Jul 16, 2019",6.331,6.413,6.413,6.317,-1.59%,Jul,2019,16,
"Jul 15, 2019",6.433,6.459,6.467,6.43,-0.85%,Jul,2019,15,
"Jul 12, 2019",6.488,6.528,6.541,6.457,-0.08%,Jul,2019,12,
"Jul 11, 2019",6.493,6.558,6.562,6.487,-0.76%,Jul,2019,11,
"Jul 10, 2019",6.543,6.588,6.61,6.516,-0.68%,Jul,2019,10,
"Jul 09, 2019",6.588,6.555,6.61,6.555,0.40%,Jul,2019,09,
"Jul 08, 2019",6.562,6.713,6.713,6.562,-1.99%,Jul,2019,08,
"Jul 05, 2019",6.695,6.755,6.766,6.576,-0.83%,Jul,2019,05,
"Jul 04, 2019",6.751,6.837,6.849,6.751,-1.20%,Jul,2019,04,
"Jul 03, 2019",6.833,6.809,6.835,6.804,-0.19%,Jul,2019,03,
"Jul 02, 2019",6.846,6.86,6.876,6.829,-0.52%,Jul,2019,02,
"Jul 01, 2019",6.882,6.906,6.93,6.882,0.04%,Jul,2019,01,
"Jun 28, 2019",6.879,6.888,6.9,6.87,-0.26%,Jun,2019,28,
